Leg Code;Navire;Départ LOCODE;Port Départ;Arrivée LOCODE;Port Arrivée;ETD;ETA;ATD (réel);ATA (réel);Distance Ortho (NM);Distance Réelle (NM);Vitesse (nds);Durée Est. (h);Statut
1ZL0A4;Anemos;FRCOC;Concarneau;FRLEH;Le Havre;03/08/2024 00:00;03/08/2024 20:41;;;;;;;planned
1AFRUS6;Anemos;FRFEC;Fecamp;USNYC;New York;05/04/2026 08:51;25/04/2026 07:07;;26/02/2026 08:00;3061.0;3826.2;8.0;478.3;in_progress
1LY1A4;Anemos;FRLEH;Le Havre;USNYC;New York;07/08/2024 08:41;29/08/2024 05:44;09/08/2024 21:30;03/09/2024 00:00;;;;;completed
1BUSCO6;Anemos;USNYC;New York;COSMR;Santa Marta;01/03/2026 08:00;14/03/2026 05:32;;;1768.8;2476.3;8.0;309.5;in_progress
1YMB4;Anemos;USNYC;New York;COSTM;Santa Marta;02/09/2024 17:44;13/09/2024 17:45;07/09/2024 00:00;17/09/2024 00:00;;;;;completed
1CCOHN6;Anemos;COSMR;Santa Marta;HNPCR;Puerto Cortes;17/03/2026 05:32;22/03/2026 17:47;;;846.4;1058.0;8.0;132.2;planned
1MQC4;Anemos;COSTM;Santa Marta;CAQUE;Quebec;18/09/2024 05:45;02/10/2024 05:46;21/09/2024 00:00;05/10/2024 00:00;;;;;completed
1DHNCA6;Anemos;HNPCR;Puerto Cortes;CAQUE;Quebec;28/03/2026 17:47;16/04/2026 08:05;;;2040.2;3570.3;8.0;446.3;planned
1QLD4;Anemos;CAQUE;Quebec;FRLEH;Le Havre;06/10/2024 17:46;20/10/2024 17:46;10/10/2024 00:00;24/10/2024 00:00;;;;;completed
1ECAFR6;Anemos;CAQUE;Quebec;FRFEC;Fecamp;22/04/2026 08:05;10/05/2026 06:20;;;2753.7;3442.1;8.0;430.3;planned
1LYE4;Anemos;FRLEH;Le Havre;USNYC;New York;28/10/2024 05:46;19/11/2024 02:49;01/11/2024 00:00;25/11/2024 00:00;;;;;completed
1FFRBR6;Anemos;FRFEC;Fecamp;BRSSO;Sao Sebastiao;30/05/2026 06:20;29/06/2026 11:28;;;5044.3;5800.9;8.0;725.1;planned
1YLF4;Anemos;USNYC;New York;FRCOC;Concarneau;25/11/2024 00:00;10/12/2024 12:52;29/11/2024 00:00;17/12/2024 00:00;;;;;completed
1GBRFR6;Anemos;BRSSO;Sao Sebastiao;FRFEC;Fecamp;02/07/2026 11:28;01/08/2026 16:35;;;5044.3;5800.9;8.0;725.1;planned
